course_code,course_title,department
ABLD 3CD3,Topics in the Black Caribbean and its Diasporas,ABLD
ANTHROP 1AA3,"Introduction to Anthropology: Sex, Food and Death",ANTHROP
ANTHROP 1AB3,"Introduction to Anthropology: Race, Religion, and Social Justice",ANTHROP
ANTHROP 2DA3,Traditional Indigenous Ecological Knowledge,ANTHROP
ANTHROP 2E03,Introduction to Biological Anthropology,ANTHROP
ANTHROP 2EE3,Sport and/as Religion,ANTHROP
ANTHROP 2F03,Introduction to Sociocultural Anthropology,ANTHROP
ANTHROP 2FF3,Human Skeletal Biology and Bioarchaeology,ANTHROP
ANTHROP 2HI3,Medical Anthropology,ANTHROP
ANTHROP 2PA3,Introduction to Anthropological Archaeology,ANTHROP
ANTHROP 2PC3,"Aliens, Curses and Nazis: Archaeology and Hollywood",ANTHROP
ANTHROP 2R03,"Religion, Magic and Witchcraft",ANTHROP
ANTHROP 3AR3,Culture and Religion,ANTHROP
ANTHROP 3CA3,Ceramic Analysis,ANTHROP
ANTHROP 3CF3,"Climate Change, Changing Foodways and Politics",ANTHROP
ANTHROP 3HD3,Children's Health and Development,ANTHROP
ANTHROP 3HH3,"Think Globally, Act Locally: Globalization, Social Justice and Human Rights",ANTHROP
ANTHROP 3IS3,Independent Study in Anthropology,ANTHROP
ANTHROP 3LD3,Learning from the Dead,ANTHROP
ANTHROP 3PD3,Anthropological Perspectives and Debates,ANTHROP
ANTHROP 4CP3,Cultural Politics of Food and Eating,ANTHROP
ANTHROP 4G03,Independent Research I,ANTHROP
ANTHROP 4GG3,Independent Research II,ANTHROP
ANTHROP 4HF3,Archaeology of Hunter-Fisher-Gatherers,ANTHROP
ANTHROP 4J03,Advanced Topics in Biological Anthropology I,ANTHROP
ANTHROP 4S03,The Anthropology of Infectious Disease,ANTHROP
ARABIC 2AA3,Introduction to Modern Standard Arabic,ARABIC
ARTSSCI 1A03,Practices of Knowledge,ARTSSCI
ARTSSCI 1B03,Writing,ARTSSCI
ARTSSCI 1C06A,Global Challenges Inquiry,ARTSSCI
ARTSSCI 1D06A,Calculus,ARTSSCI
ARTSSCI 2A06A,Social and Political Thought,ARTSSCI
ARTSSCI 2D06A,Physics,ARTSSCI
ARTSSCI 2E03,Economics: Principles and Policy,ARTSSCI
ARTSSCI 3BB3,Technology and Society II,ARTSSCI
ARTSSCI 3CL3,"Theatre, Self, and Social Development",ARTSSCI
ARTSSCI 3F03,Experiential Project in Teaching and Learning,ARTSSCI
ARTSSCI 3RL3,Religion and Law,ARTSSCI
ARTSSCI 3S03,The East Asian Religious Tradition,ARTSSCI
ARTSSCI 3TR3,Trees and Their Histories,ARTSSCI
ARTSSCI 3X03,Individual Study,ARTSSCI
ARTSSCI 4A06A,Individual Study,ARTSSCI
ARTSSCI 4A09A,Individual Study,ARTSSCI
ARTSSCI 4C06A,Thesis,ARTSSCI
ARTSSCI 4C09A,Thesis,ARTSSCI
ARTSSCI 4CD3,Research and Creative Writing,ARTSSCI
ARTSSCI 4CT3,Medical Humanities Inquiry,ARTSSCI
ARTSSCI 4GH3,Global Health Inquiry,ARTSSCI
ARTSSCI 4GS3,Theories from the Global South,ARTSSCI
ARTSSCI 4MN1,Local Explorations,ARTSSCI
ARTSSCI 4QT3,"Queering the Arts, Queering the Sciences",ARTSSCI
ASTRON 1F03,Introduction to Astronomy and Astrophysics,ASTRON
ASTRON 2A03,Perspectives on Indigenous and Eurocentric Astronomy,ASTRON
ASTRON 2B03,The Big Questions,ASTRON
ASTRON 3Y03,Stellar Structure,ASTRON
ASTRON 5X03S,Graduate Topics in Astrophysics,ASTRON
AUTOTECH 2AE3,Design of Machine Elements,AUTOTECH
AUTOTECH 2CD3,Computer Aided Design,AUTOTECH
AUTOTECH 2MT3,Structure and Properties of Materials,AUTOTECH
AUTOTECH 3AE3,Automotive Systems and Integrations,AUTOTECH
AUTOTECH 3AV3,Electric and Hybrid Vehicles,AUTOTECH
AUTOTECH 3CT3,Control Theory,AUTOTECH
AUTOTECH 3MP3,Manufacturing Processes and Systems,AUTOTECH
AUTOTECH 3MV3,Mechatronics,AUTOTECH
AUTOTECH 3TS3,Fluid Mechanics,AUTOTECH
AUTOTECH 3VD3,Mechanical Vibrations,AUTOTECH
AUTOTECH 4AT3,Conceptual Design of Electric and Hybrid Vehicles,AUTOTECH
AUTOTECH 4CI3,Robotics and Computer Integrated Manufacturing,AUTOTECH
AUTOTECH 4DV3,Vehicle Dynamics,AUTOTECH
AUTOTECH 4TR3,Capstone Design II,AUTOTECH
BIOCHEM 2B03,Nucleic Acid Structure and Function,BIOCHEM
BIOCHEM 2L06A,Inquiry in Biochemical Techniques,BIOCHEM
BIOCHEM 3A03,Biochemical Research Practice,BIOCHEM
BIOCHEM 3BP3,Practical Bioinformatics in the Genomics Era,BIOCHEM
BIOCHEM 3CB3,Emerging Discovery in Cell Biology,BIOCHEM
BIOCHEM 3D03,Metabolism and Regulation,BIOCHEM
BIOCHEM 3G03,Proteins and Nucleic Acids,BIOCHEM
BIOCHEM 3R03,Clinical Research Project,BIOCHEM
BIOCHEM 3R06A,Research Project,BIOCHEM
BIOCHEM 4E03,Gene Regulation in Stem Cells and Development,BIOCHEM
BIOCHEM 4F09A,Senior Thesis,BIOCHEM
BIOCHEM 4S03,Introduction to Molecular Biophysics,BIOCHEM
BIOCHEM 4T15A,Senior Thesis,BIOCHEM
BIOCHEM 4Z03,Senior Project,BIOCHEM
BIOLOGY 1A03,Cellular and Molecular Biology,BIOLOGY
BIOLOGY 1M03,"Biodiversity, Evolution and Humanity",BIOLOGY
BIOLOGY 1P03,Introductory Biology,BIOLOGY
BIOLOGY 2B03,Cell Biology,BIOLOGY
BIOLOGY 2C03,Genetics,BIOLOGY
BIOLOGY 2D03,Plant Biodiversity and Biotechnology,BIOLOGY
BIOLOGY 2F03,Fundamental and Applied Ecology,BIOLOGY
BIOLOGY 2L03,The Scientific Method in Biology,BIOLOGY
BIOLOGY 3AA3,Fundamental Concepts of Pharmacology,BIOLOGY
BIOLOGY 3DD3,Communities and Ecosystems,BIOLOGY
BIOLOGY 3EP3A,Applied Biology Placement,BIOLOGY
BIOLOGY 3EP3S,Applied Biology Placement,BIOLOGY
BIOLOGY 3FF3,Evolution,BIOLOGY
BIOLOGY 3HD3,Human Disasters,BIOLOGY
BIOLOGY 3IR3A,Independent Research Project,BIOLOGY
BIOLOGY 3IR3S,Independent Research Project,BIOLOGY
BIOLOGY 3JJ3,Field Methods In Ecology,BIOLOGY
BIOLOGY 3P03,Cell Physiology,BIOLOGY
BIOLOGY 3R03,Field Biology I,BIOLOGY
BIOLOGY 3RF0,Field Work I,BIOLOGY
BIOLOGY 3S03,An Introduction to Bioinformatics,BIOLOGY
BIOLOGY 3SA3,Applied Statistics for Biology,BIOLOGY
BIOLOGY 3U03,Animal Physiology - Homeostasis,BIOLOGY
BIOLOGY 3ZZ3,Topics in Physiology,BIOLOGY
BIOLOGY 4A03,Advanced Topics in Ecology,BIOLOGY
BIOLOGY 4C12A,Senior Thesis,BIOLOGY
BIOLOGY 4F06A,Senior Project,BIOLOGY
BIOLOGY 4F06S,Senior Project,BIOLOGY
BIOLOGY 4IR3,Advanced Independent Research Project,BIOLOGY
BIOLOGY 4J03,Field Biology II,BIOLOGY
BIOLOGY 4JF0,Field Work II,BIOLOGY
BIOLOGY 4MH3,Microbiome-Host Interactions,BIOLOGY
BIOLOGY 4PP3,Environmental Microbiology and Biotechnology,BIOLOGY
BIOLOGY 4X03,Environmental Physiology,BIOLOGY
BIOMEDDC 2C03,Exploring Careers in Biomedical Sciences,BIOMEDDC
BIOMEDDC 3B06A,Drug Discovery and Development,BIOMEDDC
BIOMEDDC 3C06,Research Skills Laboratory and Inquiry,BIOMEDDC
BIOMEDDC 4A15A,Senior Research Thesis,BIOMEDDC
BIOMEDDC 4B03,Road to Biomedical Commercialization,BIOMEDDC
BIOPHYS 2A03,Biophysics of the Cell and Living Organisms,BIOPHYS
BIOPHYS 3S03,'Squishy Physics’: Physics of Soft Matter,BIOPHYS
BIOPHYS 4S03,Introduction to Molecular Biophysics,BIOPHYS
BIOSAFE 1BS0,Biosafety Training,BIOSAFE
BIOTECH 2CB3,Cell Biology,BIOTECH
BIOTECH 2EC3,Chemical Engineering Concepts,BIOTECH
BIOTECH 2M03,Molecular Biology,BIOTECH
BIOTECH 2OC3,Organic Chemistry,BIOTECH
BIOTECH 3B03,Industrial Biotechnology,BIOTECH
BIOTECH 3BC3,Bioprocess Control and Dynamics,BIOTECH
BIOTECH 3BP3,Bioreactor Processes and Design,BIOTECH
BIOTECH 3CM3,Computational Modeling of Biological Systems,BIOTECH
BIOTECH 3FM3,Food Microbiology,BIOTECH
BIOTECH 3IV3,Immunology and Virology,BIOTECH
BIOTECH 3PM3,Pharmacology,BIOTECH
BIOTECH 4BI3,Bioinformatics,BIOTECH
BIOTECH 4BS3,Ethics and Biotechnology Regulations,BIOTECH
BIOTECH 4TB3,Advanced Biotechnology,BIOTECH
BIOTECH 4TR3,Capstone Project II,BIOTECH
BUSAI 3AI3,Foundations of Large Language Models and Generative Artificial Intelligence in Business,BUSAI
CHALLENG 2CC3,Critical Challenges for Humanity,CHALLENG
CHEM 1A03,Introductory Chemistry I,CHEM
CHEM 2A03,Quantitative Chemical Analysis,CHEM
CHEM 2BC3,Making Chemistry More Sustainable,CHEM
CHEM 2E03,Introductory Organic Chemistry,CHEM
CHEM 2OA3,Organic Chemistry I,CHEM
CHEM 2OG3,Structure and Reactivity of Organic Molecules,CHEM
CHEM 2Q03,Inquiry for Chemistry,CHEM
CHEM 2SC3,Sustainable Chemistry - Green Chemistry,CHEM
CHEM 3EP3A,Advanced Chemistry Placement,CHEM
CHEM 3EP3S,Advanced Chemistry Placement,CHEM
CHEM 3II3,Introduction to Transition Metal Chemistry,CHEM
CHEM 3LA3,Strategies for Chemical Discovery,CHEM
CHEM 3OA3,Organic Synthesis,CHEM
CHEM 3PC3,Mathematical Tools for Chemical Problems,CHEM
CHEM 3RP3,Research Practicum in Chemistry,CHEM
CHEM 4G12A,Senior Thesis,CHEM
CHEM 4IC3,"Solid State Inorganic Materials: Structures, Properties, Characterization and Applications",CHEM
CHEM 4OA3,Natural Products,CHEM
CHEM 4OP3,Polymers and Organic Materials,CHEM
CHEM 4Q03,Peer Tutoring in Chemistry,CHEM
CHEM 4RP6A,Research Project in Chemistry,CHEM
CHEM 4RP6S,Research Project in Chemistry,CHEM
CHEMBIO 2A03,Introduction to Bio-Analytical Chemistry,CHEMBIO
CHEMBIO 2OG3,Organic Chemistry I,CHEMBIO
CHEMBIO 2Q03,Inquiry for Chemical Biology,CHEMBIO
CHEMBIO 3EP3A,Advanced Chemical Biology Placement,CHEMBIO
CHEMBIO 3EP3S,Advanced Chemical Biology Placement,CHEMBIO
CHEMBIO 3OA3,Organic Mechanistic Tools for Chemical Biology,CHEMBIO
CHEMBIO 3P03,Biomolecular Interactions and Kinetics,CHEMBIO
CHEMBIO 3RP3,Research Practicum in Chemical Biology,CHEMBIO
CHEMBIO 4G12A,Senior Thesis in Chemical Biology,CHEMBIO
CHEMBIO 4OA3,Natural Products,CHEMBIO
CHEMBIO 4Q03,Peer Tutoring in Chemical Biology,CHEMBIO
CHEMBIO 4RP6A,Research Project in Chemical Biology,CHEMBIO
CHEMBIO 4RP6S,Research Project in Chemical Biology,CHEMBIO
CHEMBME 5P06A,Integrated Chemical & Biomedical Engineering Capstone Design Project,CHEMBME
CHEMENG 2D04,Chemical Engineering Principles I,CHEMENG
CHEMENG 2DW1,Problem Solving Strategies,CHEMENG
CHEMENG 2E04,Numerical Methods and Computing for Chemical Engineers,CHEMENG
CHEMENG 3BK3,Bio-Reaction Engineering,CHEMENG
CHEMENG 3D04,Chemical Engineering Thermodynamics,CHEMENG
CHEMENG 3TP6,Transport Phenomena,CHEMENG
CHEMENG 3U04,Unit Operations,CHEMENG
CHEMENG 4A03,Energy Systems Engineering,CHEMENG
CHEMENG 4B03,Polymer Reaction Engineering,CHEMENG
CHEMENG 4E03,Modern Methods for Process Control,CHEMENG
CHEMENG 4K03,Reactor Design for Heterogeneous Systems: Principles and Machine Learning Perspective,CHEMENG
CHEMENG 4L03,Advanced Laboratory Skills,CHEMENG
CHEMENG 4M03,Industrial Separation Processes,CHEMENG
CHEMENG 4N04,Engineering Economics and Problem Solving,CHEMENG
CHEMENG 4W06A,Chemical Plant Design and Capstone Project,CHEMENG
CHEMENG 4Y04A,Senior Independent Project,CHEMENG
CHINESE 1BL3,Beginner Chinese Language I,CHINESE
CIVBME 5P06A,Integrated Civil & Biomedical Engineering Capstone Design Project,CIVBME
CIVDEM 3EL3,Election Law and Policy,CIVDEM
CIVDEM 3Z03,Canadian Public Sector Management,CIVDEM
CIVDEM 4ED6A,Partnered Research in Elections and Democracy,CIVDEM
