course_code,course_title,department,outline_status,preferred_source_kind,preferred_source_name,preferred_academic_year,preferred_term,preferred_professors,preferred_document_urls,preferred_source_page_url,needs_review
AUTOTECH 2AE3,Design of Machine Elements,AUTOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/AUTOTECH-2AE3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
AUTOTECH 2CD3,Computer Aided Design,AUTOTECH,found,official_department,engineering_technology,,,"Lucian Balan, LEL.",https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_2cd3_fall_2021.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
AUTOTECH 2MT3,Structure and Properties of Materials,AUTOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_2mt3_fall_2021.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
AUTOTECH 3AE3,Automotive Systems and Integrations,AUTOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3ae3_outline_draft.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
AUTOTECH 3AV3,Electric and Hybrid Vehicles,AUTOTECH,missing,,,,,,,,False
AUTOTECH 3CT3,Control Theory,AUTOTECH,found,official_department,engineering_technology,,,"Timber Yuen, P.Eng.",https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3ct3_outline_fall_2021_mcmaster.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
AUTOTECH 3MP3,Manufacturing Processes and Systems,AUTOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3mp3_course_outline_fall_2021_yakout_0.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
AUTOTECH 3MV3,Mechatronics,AUTOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3mv3.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
AUTOTECH 3TS3,Fluid Mechanics,AUTOTECH,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Moein Mehrtash,https://mcmaster.simplesyllabusca.com/doc/jlm3525xv/Fall-2026-AUTOTECH-3TS3-C01-MEHRTAM-Fluid-Mechanics?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
AUTOTECH 3VD3,Mechanical Vibrations,AUTOTECH,found,official_department,engineering_technology,,,"Timber Yuen, P.Eng.",https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3vd3_outline_fall_2021_mcmaster.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
