department,catalog_courses,courses_with_preferred_url,simple_syllabus_courses,official_fallback_courses,missing_courses,coverage_percent
AUTOTECH,14,12,1,11,2,85.7
BIOLOGY,34,19,19,0,15,55.9
BIOMEDDC,5,0,0,0,5,0.0
BIOTECH,15,14,3,11,1,93.3
CHALLENG,1,1,0,1,0,100.0
CHEM,22,15,15,0,7,68.2
CHEMBME,1,0,0,0,1,0.0
CHEMENG,16,14,0,14,2,87.5
CIVBME,1,0,0,0,1,0.0
CIVDEM,3,0,0,0,3,0.0
CIVENG,19,17,3,14,2,89.5
CIVTECH,6,6,0,6,0,100.0
CMTYENGA,5,3,3,0,2,60.0
COMMERCE,62,46,1,45,16,74.2
COMPENG,9,8,1,7,1,88.9
COMPSCI,21,20,1,19,1,95.2
ECON,29,6,6,0,23,20.7
ELECBME,1,0,0,0,1,0.0
ELECENG,13,11,1,10,2,84.6
ENGINEER,6,0,0,0,6,0.0
ENGNMGT,3,0,0,0,3,0.0
ENGPHYS,13,12,2,10,1,92.3
ENGSOCTY,5,0,0,0,5,0.0
ENGTECH,27,19,0,19,8,70.4
ENRTECH,7,6,0,6,1,85.7
EPHYSBME,1,0,0,0,1,0.0
GENTECH,17,16,0,16,1,94.1
IBEHS,21,15,1,14,6,71.4
INTENG,2,0,0,0,2,0.0
MANTECH,3,3,0,3,0,100.0
MATH,42,32,31,1,10,76.2
MATLS,13,2,1,1,11,15.4
MATLSBME,1,0,0,0,1,0.0
MECHBME,1,0,0,0,1,0.0
MECHENG,25,22,1,21,3,88.0
MECHTRON,8,7,0,7,1,87.5
NUCENG,2,2,1,1,0,100.0
PHYSICS,18,10,10,0,8,55.6
PROCTECH,13,12,0,12,1,92.3
PSYCH,21,10,10,0,11,47.6
SFGNTECH,9,0,0,0,9,0.0
SFWRBME,1,0,0,0,1,0.0
SFWRENG,19,17,2,15,2,89.5
SFWRTECH,17,13,0,13,4,76.5
SMRTTECH,4,3,0,3,1,75.0
TRONBME,1,0,0,0,1,0.0
