course_code,course_title,department
AUTOTECH 3AV3,Electric and Hybrid Vehicles,AUTOTECH
AUTOTECH 4TR3,Capstone Design II,AUTOTECH
BIOLOGY 3EP3A,Applied Biology Placement,BIOLOGY
BIOLOGY 3EP3S,Applied Biology Placement,BIOLOGY
BIOLOGY 3IR3A,Independent Research Project,BIOLOGY
BIOLOGY 3IR3S,Independent Research Project,BIOLOGY
BIOLOGY 3R03,Field Biology I,BIOLOGY
BIOLOGY 3RF0,Field Work I,BIOLOGY
BIOLOGY 3ZZ3,Topics in Physiology,BIOLOGY
BIOLOGY 4C12A,Senior Thesis,BIOLOGY
BIOLOGY 4F06A,Senior Project,BIOLOGY
BIOLOGY 4F06S,Senior Project,BIOLOGY
BIOLOGY 4IR3,Advanced Independent Research Project,BIOLOGY
BIOLOGY 4J03,Field Biology II,BIOLOGY
BIOLOGY 4JF0,Field Work II,BIOLOGY
BIOLOGY 4MH3,Microbiome-Host Interactions,BIOLOGY
BIOLOGY 4X03,Environmental Physiology,BIOLOGY
BIOMEDDC 2C03,Exploring Careers in Biomedical Sciences,BIOMEDDC
BIOMEDDC 3B06A,Drug Discovery and Development,BIOMEDDC
BIOMEDDC 3C06,Research Skills Laboratory and Inquiry,BIOMEDDC
BIOMEDDC 4A15A,Senior Research Thesis,BIOMEDDC
BIOMEDDC 4B03,Road to Biomedical Commercialization,BIOMEDDC
BIOTECH 4TB3,Advanced Biotechnology,BIOTECH
CHEM 2BC3,Making Chemistry More Sustainable,CHEM
CHEM 2SC3,Sustainable Chemistry - Green Chemistry,CHEM
CHEM 4G12A,Senior Thesis,CHEM
CHEM 4IC3,"Solid State Inorganic Materials: Structures, Properties, Characterization and Applications",CHEM
CHEM 4Q03,Peer Tutoring in Chemistry,CHEM
CHEM 4RP6A,Research Project in Chemistry,CHEM
CHEM 4RP6S,Research Project in Chemistry,CHEM
CHEMBME 5P06A,Integrated Chemical & Biomedical Engineering Capstone Design Project,CHEMBME
CHEMENG 4E03,Modern Methods for Process Control,CHEMENG
CHEMENG 4W06A,Chemical Plant Design and Capstone Project,CHEMENG
CIVBME 5P06A,Integrated Civil & Biomedical Engineering Capstone Design Project,CIVBME
CIVDEM 3EL3,Election Law and Policy,CIVDEM
CIVDEM 3Z03,Canadian Public Sector Management,CIVDEM
CIVDEM 4ED6A,Partnered Research in Elections and Democracy,CIVDEM
CIVENG 4X06A,Design and Synthesis Project in Civil Engineering,CIVENG
CIVENG 4Z04A,Independent Study,CIVENG
CMTYENGA 3E03,Community Engagement in Practice with Empowerment Squared,CMTYENGA
CMTYENGA 4A09,Semester at CityLAB: Applied Project Experience,CMTYENGA
COMMERCE 1GR0A,DeGroote Student Experience and Development I,COMMERCE
COMMERCE 1TS0,Orientation for New Transfer Students,COMMERCE
COMMERCE 2FB3,Managerial Finance,COMMERCE
COMMERCE 3FC3,International Finance,COMMERCE
COMMERCE 3FN3,Big Data in Finance,COMMERCE
COMMERCE 3GR0,DeGroote Student Experience and Development III,COMMERCE
COMMERCE 3KE3,Management of Enterprise Data Analytics and Artificial Intelligence,COMMERCE
COMMERCE 3MA3,Marketing Research,COMMERCE
COMMERCE 4AD3,Introduction to Auditing,COMMERCE
COMMERCE 4BG3,Public Sector Collective Bargaining,COMMERCE
COMMERCE 4CB3,"Health Care Systems: Management, Policy, and Innovation",COMMERCE
COMMERCE 4FY3,Introduction to FinTech,COMMERCE
COMMERCE 4GR3,DeGroote Student Experience and Development IV,COMMERCE
COMMERCE 4IA0,Internship 1,COMMERCE
COMMERCE 4IB0,Internship 2,COMMERCE
COMMERCE 4MH3,Digital Marketing,COMMERCE
COMPENG 4OJ4,Research Project,COMPENG
COMPSCI 4ZP6A,Capstone Project,COMPSCI
ECON 1B03,Introductory Microeconomics,ECON
ECON 1BB3,Introductory Macroeconomics,ECON
ECON 2B03,Analysis of Economic Data,ECON
ECON 2CC3,Health Economics and its Application to Health Policy,ECON
ECON 2I03,Financial Economics,ECON
ECON 2K03,Economic History of Canada,ECON
ECON 2NN3,Political Economy of Development,ECON
ECON 2P03,Economics of Professional Sports,ECON
ECON 2Y03,Intermediate Macroeconomics I,ECON
ECON 2YY3,Intermediate Macroeconomics II,ECON
ECON 3BE3,Behavioural Economics,ECON
ECON 3E03,Applied Econometrics,ECON
ECON 3EE3,Econometrics I,ECON
ECON 3HH3,International Trade,ECON
ECON 3K03,Monetary Economics,ECON
ECON 3M03,Introduction to Game Theory,ECON
ECON 3T03,Economic Development,ECON
ECON 4F03,Methods of Inquiry in Economics,ECON
ECON 4FF3,Research Methods in Economics,ECON
ECON 4G03,Econometrics II,ECON
ECON 4M06A,Direct Research 1,ECON
ECON 4N03,Directed Research II,ECON
ECON 4T03,Advanced Economic Theory I,ECON
ELECBME 5P06A,Integrated Electrical & Biomedical Engineering Capstone Design Project,ELECBME
ELECENG 4OJ4,Research Project,ELECENG
ELECENG 4PK4,Power Electronics,ELECENG
ENGINEER 1EE0,Introduction to Career Planning & Employment,ENGINEER
ENGINEER 1P13A,Integrated Cornerstone Design Projects in Engineering,ENGINEER
ENGINEER 2EC0,Engineering Work Term,ENGINEER
ENGINEER 3IC0,Full-Time Internship for International Students,ENGINEER
ENGINEER 4A03,"Ethics, Equity and Law in Engineering",ENGINEER
ENGINEER 4EX3A,Experiential Engineering Design,ENGINEER
ENGNMGT 2AA3,Communication Skills,ENGNMGT
ENGNMGT 4A03,Innovation Driven Project Development and Management,ENGNMGT
ENGNMGT 5B03,Engineering and Management Capstone,ENGNMGT
ENGPHYS 3H04A,Research Project in Engineering Physics,ENGPHYS
ENGSOCTY 2X03,Inquiry in an Engineering Context I,ENGSOCTY
