course_code,course_title,department,academic_year,term,section,professor_name,document_url,source_page_url,source_kind,source_name,source_priority,is_preferred,needs_review,retrieved_at
AUTOTECH 2AE3,Design of Machine Elements,AUTOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/AUTOTECH-2AE3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
AUTOTECH 2CD3,Computer Aided Design,AUTOTECH,,,,"Lucian Balan, LEL.",https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_2cd3_fall_2021.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
AUTOTECH 2MT3,Structure and Properties of Materials,AUTOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_2mt3_fall_2021.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
AUTOTECH 3AE3,Automotive Systems and Integrations,AUTOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3ae3_outline_draft.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
AUTOTECH 3CT3,Control Theory,AUTOTECH,,,,"Timber Yuen, P.Eng.",https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3ct3_outline_fall_2021_mcmaster.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
AUTOTECH 3MP3,Manufacturing Processes and Systems,AUTOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3mp3_course_outline_fall_2021_yakout_0.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
AUTOTECH 3MV3,Mechatronics,AUTOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3mv3.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
AUTOTECH 3TS3,Fluid Mechanics,AUTOTECH,2026,fall,,Moein Mehrtash,https://mcmaster.simplesyllabusca.com/doc/jlm3525xv/Fall-2026-AUTOTECH-3TS3-C01-MEHRTAM-Fluid-Mechanics?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
AUTOTECH 3VD3,Mechanical Vibrations,AUTOTECH,,,,"Timber Yuen, P.Eng.",https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3vd3_outline_fall_2021_mcmaster.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
AUTOTECH 4AT3,Conceptual Design of Electric and Hybrid Vehicles,AUTOTECH,,,,"Dan Centea, LEL.",https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_4at3_outline_21c.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
AUTOTECH 4CI3,Robotics and Computer Integrated Manufacturing,AUTOTECH,,,,"Timber Yuen, P.Eng.",https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_4ci3_outline_fall_2021_mcmaster.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
AUTOTECH 4DV3,Vehicle Dynamics,AUTOTECH,,,,"Moein Mehrtash, LEL.",https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_4dv3_0.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOLOGY 1A03,Cellular and Molecular Biology,BIOLOGY,2026,fall,,Rosa Da Silva,https://mcmaster.simplesyllabusca.com/doc/2fvkeovye/Fall-2026-BIOLOGY-1A03-C01-KAJIURA-Cellular-and-Molecular-Biology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
