course_code,course_title,professor_name,url
ABLD 3CD3,Topics in the Black Caribbean and its Diasporas,,https://mcmaster.simplesyllabusca.com/doc/0s0l3o7o6/Fall-2026-ABLD-3CD3-C01-CREECHS-Topics-in-the-Black-Caribbean-and-its-Diasporas?mode=view
ANTHROP 1AA3,"Introduction to Anthropology: Sex, Food and Death",Dr. Tina Moffat,https://mcmaster.simplesyllabusca.com/doc/9tgz8xum3/Fall-2026-ANTHROP-1AA3-C01-MOFFATCS-Introduction-to-Anthropology-Sex-Food-and-Death?mode=view
ANTHROP 3HD3,Children's Health and Development,Tina Moffat,https://mcmaster.simplesyllabusca.com/doc/bmt164xva/Fall-2026-ANTHROP-3HD3-C01-MOFFATCS-Children-s-Health-and-Development?mode=view
ANTHROP 3LD3,Learning from the Dead,Dr. T. Prowse,https://mcmaster.simplesyllabusca.com/doc/76tljf3mi/Fall-2026-ANTHROP-3LD3-C01-PROWSET-Learning-from-the-Dead?mode=view
ANTHROP 3PD3,Anthropological Perspectives and Debates,Dr. Karen McGarry,https://mcmaster.simplesyllabusca.com/doc/ywkozht0i/Fall-2026-ANTHROP-3PD3-C01-MCGARRY-Anthropological-Perspectives-and-Debates?mode=view
ARTSSCI 1A03,Practices of Knowledge,Jason Hoult,https://mcmaster.simplesyllabusca.com/doc/0gkfy6326/Fall-2026-ARTSSCI-1A03-C01-HOULTJ-Practices-of-Knowledge?mode=view
ARTSSCI 1B03,Writing,Stacy Creech de Castro,https://mcmaster.simplesyllabusca.com/doc/zrvo614c4/Fall-2026-ARTSSCI-1B03-C01-CREECHS-Writing?mode=view
ARTSSCI 1C06A,Global Challenges Inquiry,Mathew Savelli,https://mcmaster.simplesyllabusca.com/doc/460wkru08/Fall-2026-ARTSSCI-1C06A-C01-MARQUIE-Global-Challenges-Inquiry?mode=view
ARTSSCI 1D06A,Calculus,Caroline Junkins,https://mcmaster.simplesyllabusca.com/doc/xj4n2yeed/Fall-2026-ARTSSCI-1D06A-C01-JUNKINC-Calculus?mode=view
ARTSSCI 2D06A,Physics,Maikel Rheinstadter,https://mcmaster.simplesyllabusca.com/doc/sn0soxe23/Fall-2026-ARTSSCI-2D06A-C01-RHEINSM-Physics?mode=view
ARTSSCI 2E03,Economics: Principles and Policy,Anastasios Papanastasiou,https://mcmaster.simplesyllabusca.com/doc/vxvjx276l/Fall-2026-ARTSSCI-2E03-C01-PAPANASA-Economics-Principles-and-Policy?mode=view
ARTSSCI 3BB3,Technology and Society II,David Goutor,https://mcmaster.simplesyllabusca.com/doc/l17f4dlpb/Fall-2026-ARTSSCI-3BB3-C01-GOUTORD-Technology-and-Society-II?mode=view
ARTSSCI 3CL3,"Theatre, Self, and Social Development",Hartley Jafine,https://mcmaster.simplesyllabusca.com/doc/m0rsfugjh/Fall-2026-ARTSSCI-3CL3-C01-JAFINE-Theatre-Self-and-Social-Development?mode=view
ARTSSCI 3S03,The East Asian Religious Tradition,James Alexander Benn,https://mcmaster.simplesyllabusca.com/doc/j88clrksq/Fall-2026-ARTSSCI-3S03-C01-BENNJAM-The-East-Asian-Religious-Tradition?mode=view
ARTSSCI 4CD3,Research and Creative Writing,Eugenia Zuroski,https://mcmaster.simplesyllabusca.com/doc/bqoiaezz3/Fall-2026-ARTSSCI-4CD3-C01-ZJENKIN-Research-and-Creative-Writing?mode=view
ARTSSCI 4GH3,Global Health Inquiry,Mary Crea-Arsenio,https://mcmaster.simplesyllabusca.com/doc/0pv41s0t8/Fall-2026-ARTSSCI-4GH3-C01-MCREA-Global-Health-Inquiry?mode=view
ARTSSCI 4QT3,"Queering the Arts, Queering the Sciences",Ishaan Selby,https://mcmaster.simplesyllabusca.com/doc/rlw1ofhso/Fall-2026-ARTSSCI-4QT3-C01-SELBYIA-Queering-the-Arts-Queering-the-Sciences?mode=view
ASTRON 1F03,Introduction to Astronomy and Astrophysics,James Wadsley,https://mcmaster.simplesyllabusca.com/doc/6uqs1o7l5/Fall-2026-ASTRON-1F03-T01-WADSLEY-Introduction-to-Astronomy-and-Astrophysics?mode=view
ASTRON 2A03,Perspectives on Indigenous and Eurocentric Astronomy,Dr Robert Cockcroft,https://mcmaster.simplesyllabusca.com/doc/7u2ot4er7/Fall-2026-ASTRON-2A03-C01-COCKCRR-Perspectives-on-Indigenous-and-Eurocentric-Astronomy?mode=view
ASTRON 2B03,The Big Questions,Dr Robert Cockcroft,https://mcmaster.simplesyllabusca.com/doc/fgfcrdl71/Fall-2026-ASTRON-2B03-C01-COCKCRR-The-Big-Questions?mode=view
ASTRON 3Y03,Stellar Structure,Dr Robert Cockcroft,https://mcmaster.simplesyllabusca.com/doc/wfosvl1ny/Fall-2026-ASTRON-3Y03-C01-COCKCRR-Stellar-Structure?mode=view
AUTOTECH 3TS3,Fluid Mechanics,Moein Mehrtash,https://mcmaster.simplesyllabusca.com/doc/jlm3525xv/Fall-2026-AUTOTECH-3TS3-C01-MEHRTAM-Fluid-Mechanics?mode=view
BIOLOGY 1A03,Cellular and Molecular Biology,Rosa Da Silva,https://mcmaster.simplesyllabusca.com/doc/2fvkeovye/Fall-2026-BIOLOGY-1A03-C01-KAJIURA-Cellular-and-Molecular-Biology?mode=view
BIOLOGY 1M03,"Biodiversity, Evolution and Humanity",Dr. Cristina Abbatangelo,https://mcmaster.simplesyllabusca.com/doc/k16eu3j9v/Fall-2026-BIOLOGY-1M03-C02-ABBATACL-Biodiversity-Evolution-and-Humanity?mode=view
BIOLOGY 1P03,Introductory Biology,Dr. Herb Schellhorn,https://mcmaster.simplesyllabusca.com/doc/ib8l3jgmn/Fall-2026-BIOLOGY-1P03-C01-SCHELL-Introductory-Biology?mode=view
BIOLOGY 2B03,Cell Biology,Dr. Krupa Patel,https://mcmaster.simplesyllabusca.com/doc/ix4iul1dq/Fall-2026-BIOLOGY-2B03-C01-PATEK229-Cell-Biology?mode=view
BIOLOGY 2C03,Genetics,Cristina Abbatangelo,https://mcmaster.simplesyllabusca.com/doc/lvl8i1k58/Fall-2026-BIOLOGY-2C03-C01-ABBATACL-Genetics?mode=view
BIOLOGY 2D03,Plant Biodiversity and Biotechnology,Robin Cameron,https://mcmaster.simplesyllabusca.com/doc/47i2vdxbc/Fall-2026-BIOLOGY-2D03-C01-RCAMERO-Plant-Biodiversity-and-Biotechnology?mode=view
BIOLOGY 2F03,Fundamental and Applied Ecology,Dr. Emily Choy,https://mcmaster.simplesyllabusca.com/doc/2dq0j2s9m/Fall-2026-BIOLOGY-2F03-C01-CHOYE1-Fundamental-and-Applied-Ecology?mode=view
BIOLOGY 2L03,The Scientific Method in Biology,Doc Roc (aka Jon Stone),https://mcmaster.simplesyllabusca.com/doc/s4g48bghv/Fall-2026-BIOLOGY-2L03-C01-STONEJ-The-Scientific-Method-in-Biology?mode=view
BIOLOGY 3AA3,Fundamental Concepts of Pharmacology,Dr. Joanna Wilson,https://mcmaster.simplesyllabusca.com/doc/mj7qf2no0/Fall-2026-BIOLOGY-3AA3-C01-WILSOJO-Fundamental-Concepts-of-Pharmacology?mode=view
BIOLOGY 3DD3,Communities and Ecosystems,Dr. Jurek Kolasa,https://mcmaster.simplesyllabusca.com/doc/pq0qs1039/Fall-2026-BIOLOGY-3DD3-C01-KOLASA-Communities-and-Ecosystems?mode=view
BIOLOGY 3FF3,Evolution,Doc Roc (aka Jon Stone),https://mcmaster.simplesyllabusca.com/doc/etfnkro56/Fall-2026-BIOLOGY-3FF3-C01-STONEJ-Evolution?mode=view
BIOLOGY 3HD3,Human Disasters,Dr. Krupa Patel,https://mcmaster.simplesyllabusca.com/doc/in7s8n8ec/Fall-2026-BIOLOGY-3HD3-C01-PATEK229-Human-Disasters?mode=view
BIOLOGY 3JJ3,Field Methods In Ecology,Susan Dudley,https://mcmaster.simplesyllabusca.com/doc/t6v8j7sn6/Fall-2026-BIOLOGY-3JJ3-C01-SDUDLEY-Field-Methods-In-Ecology?mode=view
BIOLOGY 3P03,Cell Physiology,Dr. Alex Little,https://mcmaster.simplesyllabusca.com/doc/golljplvy/Fall-2026-BIOLOGY-3P03-C01-LITTLA6-Cell-Physiology?mode=view
BIOLOGY 3S03,An Introduction to Bioinformatics,Brian Golding,https://mcmaster.simplesyllabusca.com/doc/x0thd8qbs/Fall-2026-BIOLOGY-3S03-C01-GOLDING-An-Introduction-to-Bioinformatics?mode=view
BIOLOGY 3SA3,Applied Statistics for Biology,Jonathan Dushoff,https://mcmaster.simplesyllabusca.com/doc/sb20r6605/Fall-2026-BIOLOGY-3SA3-C01-DUSHOFF-Applied-Statistics-for-Biology?mode=view
BIOLOGY 3U03,Animal Physiology - Homeostasis,Alex Proulx,https://mcmaster.simplesyllabusca.com/doc/w0dzysskx/Fall-2026-BIOLOGY-3U03-C01-KUGANAAS-Animal-Physiology-Homeostasis?mode=view
BIOLOGY 4A03,Advanced Topics in Ecology,Dr. Lovaye Kajiura,https://mcmaster.simplesyllabusca.com/doc/2x7go77y5/Fall-2026-BIOLOGY-4A03-C01-KAJIURA-Advanced-Topics-in-Ecology?mode=view
BIOLOGY 4PP3,Environmental Microbiology and Biotechnology,Dr. Jianping (JP) Xu,https://mcmaster.simplesyllabusca.com/doc/6ns6vjvbx/Fall-2026-BIOLOGY-4PP3-C01-JPXU-Environmental-Microbiology-and-Biotechnology?mode=view
BIOLOGY 6X03,Environmental Physiology,Dr. Ranim Saleem,https://mcmaster.simplesyllabusca.com/doc/3ddcxdgte/Fall-2026-BIOLOGY-6X03-T01-SALEER4-Environmental-Physiology?mode=view
BIOPHYS 2A03,Biophysics of the Cell and Living Organisms,Paul Higgs,https://mcmaster.simplesyllabusca.com/doc/mb8vdnmvs/Fall-2026-BIOPHYS-2A03-C01-HIGGSP-Biophysics-of-the-Cell-and-Living-Organisms?mode=view
BIOPHYS 3S03,'Squishy Physics’: Physics of Soft Matter,Kari Dalnoki-Veress,https://mcmaster.simplesyllabusca.com/doc/6miz6y8dw/Fall-2026-BIOPHYS-3S03-C01-DALNOKI-Squishy-Physics-Physics-of-Soft-Matter?mode=view
BIOTECH 2EC3,Chemical Engineering Concepts,Amin Reza Rajabzadeh,https://mcmaster.simplesyllabusca.com/doc/hiw2142bp/Fall-2026-BIOTECH-2EC3-C01-RAJABA-Chemical-Engineering-Concepts?mode=view
BIOTECH 3BP3,Bioreactor Processes and Design,Amin Reza Rajabzadeh,https://mcmaster.simplesyllabusca.com/doc/fu0iizebx/Fall-2026-BIOTECH-3BP3-C01-RAJABA-Bioreactor-Processes-and-Design?mode=view
BIOTECH 4TR3,Capstone Project II,Amin Reza Rajabzadeh,https://mcmaster.simplesyllabusca.com/doc/x6lypvxnd/Fall-2026-BIOTECH-4TR3-C01-RAJABA-Capstone-Project-II?mode=view
CBS 706,Clinical Supervision,Tessa Alexander,https://mcmaster.simplesyllabusca.com/doc/jbmqf37jo/Fall-2026-CBS-706-C01-ALEXAT2-Clinical-Supervision?mode=view
CHEM 1A03,Introductory Chemistry I,Dr. Lydia Chen,https://mcmaster.simplesyllabusca.com/doc/l0regi2tc/Fall-2026-CHEM-1A03-C04-DAVISLJ-Introductory-Chemistry-I?mode=view
CHEM 2A03,Quantitative Chemical Analysis,Lydia Chen,https://mcmaster.simplesyllabusca.com/doc/bbb5xf9qe/Fall-2026-CHEM-2A03-C01-CHENL109-Quantitative-Chemical-Analysis?mode=view
CHEM 2E03,Introductory Organic Chemistry,Dr. Jim Ghoshdastidar (he/him),https://mcmaster.simplesyllabusca.com/doc/5zcqgdxsr/Fall-2026-CHEM-2E03-C01-GHOSHDA-Introductory-Organic-Chemistry?mode=view
CHEM 2OA3,Organic Chemistry I,Anthony Chibba,https://mcmaster.simplesyllabusca.com/doc/ranzsonyx/Fall-2026-CHEM-2OA3-C01-CHIBBAA-Organic-Chemistry-I?mode=view
CHEM 2OA3,Organic Chemistry I,Anthony Chibba,https://mcmaster.simplesyllabusca.com/doc/tr6u0tc57/Fall-2026-CHEM-2OA3-C02-CHIBBAA-Organic-Chemistry-I?mode=view
CHEM 2OG3,Structure and Reactivity of Organic Molecules,Alex Adronov,https://mcmaster.simplesyllabusca.com/doc/b0wpt4hht/Fall-2026-CHEM-2OG3-C01-ADRONOV-Structure-and-Reactivity-of-Organic-Molecules?mode=view
CHEM 2Q03,Inquiry for Chemistry,Anthony Chibba,https://mcmaster.simplesyllabusca.com/doc/3g1wc4rb3/Fall-2026-CHEM-2Q03-C01-GREENBSH-Inquiry-for-Chemistry?mode=view
CHEM 3EP3A,Advanced Chemistry Placement,Dr. Yurij Mozharivskyj,https://mcmaster.simplesyllabusca.com/doc/i6dbwlw4o/Fall-2026-CHEM-3EP3A-C01-TBD-Advanced-Chemistry-Placement?mode=view
CHEM 3EP3S,Advanced Chemistry Placement,Dr. Yurij Mozharivskyj,https://mcmaster.simplesyllabusca.com/doc/pycc6rq7b/Fall-2026-CHEM-3EP3S-C01-TBD-Advanced-Chemistry-Placement?mode=view
CHEM 3II3,Introduction to Transition Metal Chemistry,Terry Chu,https://mcmaster.simplesyllabusca.com/doc/6a43uxa2g/Fall-2026-CHEM-3II3-C01-CHUT-Introduction-to-Transition-Metal-Chemistry?mode=view
CHEM 3LA3,Strategies for Chemical Discovery,Linda Davis,https://mcmaster.simplesyllabusca.com/doc/5s63k4o7x/Fall-2026-CHEM-3LA3-C01-PRACKE-Strategies-for-Chemical-Discovery?mode=view
CHEM 3OA3,Organic Synthesis,Alfredo Capretta,https://mcmaster.simplesyllabusca.com/doc/sjh7wr9pk/Fall-2026-CHEM-3OA3-C01-CAPRETF-Organic-Synthesis?mode=view
CHEM 3PC3,Mathematical Tools for Chemical Problems,Rodrigo Alejandro Vargas Hernandez,https://mcmaster.simplesyllabusca.com/doc/oze3g39b6/Fall-2026-CHEM-3PC3-C01-VARGASHR-Mathematical-Tools-for-Chemical-Problems?mode=view
CHEM 3RP3,Research Practicum in Chemistry,Dr. Yurij Mozharivskyj,https://mcmaster.simplesyllabusca.com/doc/eem20svlc/Fall-2026-CHEM-3RP3-C01-TBD-Research-Practicum-in-Chemistry?mode=view
CHEM 4OA3,Natural Products,James Mcnulty,https://mcmaster.simplesyllabusca.com/doc/wd2ztzs6j/Fall-2026-CHEM-4OA3-C01-JMCNULT-Natural-Products?mode=view
CHEM 4OP3,Polymers and Organic Materials,Dr. Naveen Chopra,https://mcmaster.simplesyllabusca.com/doc/j8kwomykz/Fall-2026-CHEM-4OP3-C01-CHOPRN16-Polymers-and-Organic-Materials?mode=view
CHEM 6OP3,Polymers and Organic Materials,Dr. Naveen Chopra,https://mcmaster.simplesyllabusca.com/doc/wmqzx6mcy/Fall-2026-CHEM-6OP3-C01-CHOPRN16-Polymers-and-Organic-Materials?mode=view
CHEM 700,Tools for the Chemistry Profession,Peter Kruse,https://mcmaster.simplesyllabusca.com/doc/0vs82evwo/Fall-2026-CHEM-700-C01-PKRUSE-Tools-for-the-Chemistry-Profession?mode=view
CHEMBIO 2OG3,Organic Chemistry I,Alex Adronov,https://mcmaster.simplesyllabusca.com/doc/5p75nwzcj/Fall-2026-CHEMBIO-2OG3-C01-ADRONOV-Organic-Chemistry-I?mode=view
CHEMBIO 2Q03,Inquiry for Chemical Biology,Anthony Chibba (ChemBio 2Q03),https://mcmaster.simplesyllabusca.com/doc/dy86bblnb/Fall-2026-CHEMBIO-2Q03-C01-CHIBBAA-Inquiry-for-Chemical-Biology?mode=view
CHEMBIO 3OA3,Organic Mechanistic Tools for Chemical Biology,Dr. Katherine Bujold,https://mcmaster.simplesyllabusca.com/doc/gostt1zyw/Fall-2026-CHEMBIO-3OA3-L01-TURNER3-Organic-Mechanistic-Tools-for-Chemical-Biology?mode=view
CHEMBIO 3P03,Biomolecular Interactions and Kinetics,Ryan Wylie,https://mcmaster.simplesyllabusca.com/doc/w8obuvxf5/Fall-2026-CHEMBIO-3P03-C01-WYLIER-Biomolecular-Interactions-and-Kinetics?mode=view
CHEMBIO 3RP3,Research Practicum in Chemical Biology,Dr. Yurij Mozharivskyj,https://mcmaster.simplesyllabusca.com/doc/fpeh6cc3g/Fall-2026-CHEMBIO-3RP3-C01-TBD-Research-Practicum-in-Chemical-Biology?mode=view
CHEMBIO 4OA3,Natural Products,James Mcnulty,https://mcmaster.simplesyllabusca.com/doc/cbaqwf67n/Fall-2026-CHEMBIO-4OA3-C01-JMCNULT-Natural-Products?mode=view
CHEMBIO 4Q03,Peer Tutoring in Chemical Biology,Anthony Chibba,https://mcmaster.simplesyllabusca.com/doc/46lotknxe/Fall-2026-CHEMBIO-4Q03-C01-CHIBBAA-Peer-Tutoring-in-Chemical-Biology?mode=view
CHEMBIO 700B,Topics In Chemical Biology,Ryan Wylie,https://mcmaster.simplesyllabusca.com/doc/izvs54qjx/Fall-2026-CHEMBIO-700B-C01-BRENNANJ-Topics-In-Chemical-Biology?mode=view
CHEMENG 720,Lean Six Sigma for Engineers,Naveen Chopra,https://mcmaster.simplesyllabusca.com/doc/iuck3wd2p/Fall-2026-CHEMENG-720-C01-CHOPRN16-Lean-Six-Sigma-for-Engineers?mode=view
CHINESE 1BL3,Beginner Chinese Language I,Qingling Meng,https://mcmaster.simplesyllabusca.com/doc/iw0zs0pnp/Fall-2026-CHINESE-1BL3-C01-MENGQ20-Beginner-Chinese-Language-I?mode=view
